('Abbie','Brennecke','Wsae Pwr 107 Fm Chrstn Musc','603 S Washington Ave','Lansing','MI','48933','517-372-3986','abbie@brennecke.com','http://www.abbiebrennecke.com')
('Abby','Desmond','Quaker City Engine Rbldrs Inc','21366 S Alameda St','Long Beach','CA','90810','562-549-3957','abby@desmond.com','http://www.abbydesmond.com')
('Abe','Dykstra','Prudential The Ne Grp','800 Delaware Ave  #-100','Wilmington','DE','19801','302-656-4726','abe@dykstra.com','http://www.abedykstra.com')
('Abe','Elawar','Amercn Scty For Photogrammetry','5333 Mcauley Dr','Ypsilanti','MI','48197','734-572-9274','abe@elawar.com','http://www.abeelawar.com')
('Abe','Holterman','Lewis & Miller','8320 Guilford Rd','Columbia','MD','21046','410-290-8533','abe@holterman.com','http://www.abeholterman.com')
('Abe','Lacaille','Chanticleer Restaurant','2715 19th Arrctic','Atlantic City','NJ','08401','609-345-3651','abe@lacaille.com','http://www.abelacaille.com')
('Abel','Blotsky','Rdh Ent Inc','51 Railroad Ave','Norwood','NJ','07648','201-767-3500','abel@blotsky.com','http://www.abelblotsky.com')
('Abel','Denbow','Pro Direct Interviewing','7406 A Lockport Pl','Lorton','VA','22079','703-550-5240','abel@denbow.com','http://www.abeldenbow.com')
('Abigail','Biersner','Texcom Inc','2607 Andjon Dr','Dallas','TX','75220','214-350-5230','abigail@biersner.com','http://www.abigailbiersner.com')
('Abigail','Pavloski','Real American Newspaper Corp','153 E 53rd St','New York','NY','10022','212-350-6772','abigail@pavloski.com','http://www.abigailpavloski.com')
('Abraham','Arview','French Baker Le','4441 Nottingham Way','Trenton','NJ','08690','609-890-4008','abraham@arview.com','http://www.abrahamarview.com')
('Abram','Ellers','United Paint Place','1010 2nd Ave','San Diego','CA','92101','619-238-7280','abram@ellers.com','http://www.abramellers.com')
('Abram','Larde','Pro Indpndnt Ins Agtts Il','906 S French Ave','Sanford','FL','32771','407-830-5481','abram@larde.com','http://www.abramlarde.com')
('Abram','Lech','Messenger Press','259 Lakeview Ave','Clifton','NJ','07011','973-772-9888','abram@lech.com','http://www.abramlech.com')
('Abram','Schoemaker','Arkay Products Mfg Co Inc','500 Alakawa St  #-100','Honolulu','HI','96817','808-842-1883','abram@schoemaker.com','http://www.abramschoemaker.com')
('Adalberto','Balkey','Quest Intrntl Flavors & Food','2 Elm St','Garfield','NJ','07026','973-772-9021','adalberto@balkey.com','http://www.adalbertobalkey.com')
('Adam','Brittain','Michard Office Supply','124 Park Ave','Lyndhurst','NJ','07071','201-939-2903','adam@brittain.com','http://www.adambrittain.com')
